created_at,description,product,amount
2025-07-29 15:55:56,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,18.0
2025-07-29 16:11:00,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,4.0
2025-07-30 10:46:31,SALE : RUN-QUARTZ 3000 SG 20W50 500ML : RUNIVILLE,RUN-QUARTZ 3000 SG 20W50 500ML,3.0
2025-07-30 12:50:03,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.0
2025-07-31 10:07:29,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,18.0
2025-07-31 16:09:09,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,15.8
2025-08-01 13:16:59,SALE : MSA-QUARTZ 5000 20W50 500ML : MSASA,MSA-QUARTZ 5000 20W50 500ML,6.0
2025-08-01 13:55:00,SALE : RUN-QUARTZ 5000 20W50 500ML : RUNIVILLE,RUN-QUARTZ 5000 20W50 500ML,3.0
2025-08-01 15:43:10,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,50.0
2025-08-01 18:46:18,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,3.1
2025-08-03 17:34:08,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,40.0
2025-08-04 08:48:35,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,70.81
2025-08-04 08:56:06,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,51.25
2025-08-04 09:26:52,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,120.0
2025-08-04 09:33:27,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,60.0
2025-08-04 09:43:37,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,18.71
2025-08-04 11:02:57,SALE : RUN-QUARTZ 5000 20W50 500ML : RUNIVILLE,RUN-QUARTZ 5000 20W50 500ML,6.0
2025-08-04 12:39:52,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,69.0
2025-08-04 13:33:15,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.9
2025-08-04 13:39:42,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,17.4
