sale_date,site_id,site_name,product,total_litres,total_amount
2024-06-08,R MUGABE,R MUGABE,R MUGABE USD PETROL,13.51,19.24
2024-03-31,SUNWAY CITY,SUNWAY CITY,SUNWAY USD UNLEADED PETROL,56.25,89.6
2024-02-27,SEKE,SEKE,SEKE USD PETROL,48.99,71.52
2023-11-03,RUNIVILLE,RUNIVILLE,RUNIVILLE USD DIESEL,146.75,246.74
2025-08-21,R MUGABE,R MUGABE,R MUGABE USD PETROL,75.65,114.0
2025-01-30,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,295.23,435.12
2024-08-01,CHEGUTU,CHEGUTU,CHEGUTU BULK DIESEL USD,1000.0,1480.0
2025-08-15,ROADPORT,ROADPORT,ROAPORT USD PETROL,70.18,107.8
2025-03-19,FORT STREET,FORT STREET,FORT USD DIESEL,212.32,309.52
2024-10-01,FIFE STREET,FIFE STREET,FIFE USD PETROL,247.94,360.62
2025-02-05,R MUGABE,R MUGABE,R MUGABE USD PETROL,148.0,222.0
2024-06-08,SUNWAY CITY,SUNWAY CITY,SUNWAY USD UNLEADED PETROL,25.16,39.75
2025-09-30,ROADPORT,ROADPORT,ROADPORT USD DIESEL BUS,128.37,189.44
2024-11-06,FIFE STREET,FIFE STREET,FIFE USD PETROL,270.47,394.2
2025-07-11,KADOMA,KADOMA,KADOMA USD PETROL,41.84,60.68
2024-01-28,SUNWAY CITY,SUNWAY CITY,SUNWAY USD UNLEADED PETROL,70.06,109.9
2025-03-31,FORT STREET,FORT STREET,FORT USD PETROL,30.82,43.8
2025-11-20,MARONDERA,MARONDERA,MARONDERA USD PETROL,179.33,268.5
